setting,n,semantic_accuracy,format_compliance_rate,correct_candidate_emergence_rate,answer_reason_consistency_rate,avg_fact_distortion_rate,avg_partial_answer_rate,avg_undetermined_ratio
free_discussion,6,0.16666666666666666,0.0,0.0,1.0,0.0,0.2916666666666667,1.0
oracle_disclosure,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,1.0
oracle_canonical_state,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,1.0
canonical_state_fresh,6,1.0,0.0,1.0,,0.0,0.5,1.0
oracle_plan,6,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.5,1.0
oracle_candidate,6,0.6666666666666666,1.0,1.0,0.3333333333333333,0.08333333333333333,0.16666666666666666,1.0
