setting,n,semantic_accuracy,format_compliance_rate,correct_candidate_emergence_rate,answer_reason_consistency_rate,avg_fact_distortion_rate,avg_partial_answer_rate,avg_undetermined_ratio,oracle_selection_rate,fresh_solver_accuracy
free_discussion,6,0.16666666666666666,0.0,0.0,1.0,0.0,0.625,0.7083333333333334,0.0,0.0
oracle_disclosure,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.75,0.5,0.0,0.0
oracle_canonical_state,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.75,0.5,0.0,0.0
canonical_state_fresh,6,1.0,0.0,1.0,0,0.0,0.75,0.5,0.0,1.0
oracle_plan,6,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.75,0.5,0.0,0.0
oracle_candidate,6,0.6666666666666666,1.0,1.0,0.3333333333333333,0.08333333333333333,0.75,0.8333333333333334,0.6666666666666666,0.0
