setting,n,semantic_accuracy,format_compliance_rate,correct_candidate_emergence_rate,answer_reason_consistency_rate,avg_fact_distortion_rate,avg_partial_answer_rate,avg_undetermined_ratio
free_discussion,60,0.05,0.15,0.05,0.5,0.1001984126984127,0.19166666666666668,0.9958333333333333
oracle_disclosure,60,0.25,0.25,0.2,1.0,0.225,0.275,0.9
oracle_canonical_state,60,0.2,0.25,0.2,1.0,0.225,0.275,0.9
canonical_state_fresh,60,0.6,0.0,0.25,0.5,0.225,0.275,0.9
oracle_plan,60,0.7,0.3,0.2,0.42857142857142855,0.225,0.275,0.9
oracle_candidate,60,0.5333333333333333,1.0,1.0,0.7647058823529411,0.07638888888888888,0.225,0.9916666666666667
