setting,n,semantic_accuracy,format_compliance_rate,correct_candidate_emergence_rate,answer_reason_consistency_rate,avg_fact_distortion_rate,avg_partial_answer_rate,avg_undetermined_ratio,oracle_selection_rate,fresh_solver_accuracy
free_discussion,60,0.05,0.15,0.05,0.5,0.10019841269841272,0.6833333333333333,0.8041666666666667,0.0,0.0
oracle_disclosure,60,0.25,0.25,0.2,1.0,0.22500000000000003,0.8,0.65,0.0,0.0
oracle_canonical_state,60,0.2,0.25,0.2,1.0,0.22500000000000003,0.8,0.65,0.0,0.0
canonical_state_fresh,60,0.6,0.0,0.25,0.5,0.22500000000000003,0.8,0.65,0.0,0.6
oracle_plan,60,0.7,0.3,0.2,0.42857142857142855,0.22500000000000003,0.8,0.65,0.0,0.0
oracle_candidate,60,0.5333333333333333,1.0,1.0,0.7647058823529411,0.0763888888888889,0.7041666666666667,0.775,0.5166666666666667,0.0
